WP_168048067.1	WP_011429717.1	0.800	65	0.903	0.903	4.702E-28
WP_168048067.1	WP_235277851.1	0.800	65	0.903	0.903	4.702E-28
WP_168048067.1	WP_414362100.1	0.800	65	0.903	0.867	4.702E-28
WP_168048067.1	WP_414404485.1	0.800	65	0.903	0.867	4.702E-28
WP_176235518.1	WP_011429717.1	0.852	68	1.000	0.944	1.507E-32
WP_176235518.1	WP_190804824.1	0.852	68	1.000	0.944	1.507E-32
WP_176235518.1	WP_235277851.1	0.852	68	1.000	0.944	1.507E-32
WP_176235518.1	WP_414404485.1	0.852	68	1.000	0.907	1.507E-32
WP_176235518.1	GAB4214070.1	0.838	68	1.000	0.944	5.361E-32
WP_176235518.1	WP_414362100.1	0.838	68	1.000	0.907	5.361E-32
WP_176235518.1	WP_168569945.1	0.867	68	1.000	0.944	1.011E-31
WP_176235518.1	WP_015224598.1	0.867	68	1.000	0.944	1.388E-31
WP_176235518.1	WP_015229078.1	0.852	68	1.000	0.944	1.906E-31
WP_176235518.1	WP_414395174.1	0.838	68	1.000	0.907	1.906E-31
WP_176235518.1	WP_324632560.1	0.838	68	1.000	0.944	4.938E-31
WP_176235518.1	WP_502249006.1	0.838	68	1.000	0.944	6.781E-31
WP_176235518.1	WP_054464971.1	0.808	68	1.000	0.944	2.412E-30
WP_375594093.1	GAB4214070.1	0.823	68	0.810	0.944	1.165E-31
WP_375594093.1	WP_011429717.1	0.823	68	0.810	0.944	1.165E-31
WP_375594093.1	WP_190804824.1	0.823	68	0.810	0.944	1.165E-31
WP_375594093.1	WP_235277851.1	0.823	68	0.810	0.944	1.165E-31
WP_375594093.1	WP_414362100.1	0.823	68	0.810	0.907	1.165E-31
WP_375594093.1	WP_414404485.1	0.823	68	0.810	0.907	1.165E-31
WP_375594093.1	WP_414395174.1	0.808	68	0.810	0.907	1.470E-30
WP_215831982.1	GAB4214070.1	0.812	64	0.821	0.889	1.917E-29
WP_215831982.1	WP_011429717.1	0.812	64	0.821	0.889	1.917E-29
WP_215831982.1	WP_190804824.1	0.812	64	0.821	0.889	1.917E-29
WP_215831982.1	WP_235277851.1	0.812	64	0.821	0.889	1.917E-29
WP_215831982.1	WP_414362100.1	0.812	64	0.821	0.853	1.917E-29
WP_215831982.1	WP_414404485.1	0.812	64	0.821	0.853	1.917E-29
WP_215831982.1	WP_324632560.1	0.812	64	0.821	0.889	2.632E-29
WP_015494765.1	WP_011429717.1	0.835	67	1.000	0.931	2.938E-33
WP_015494765.1	WP_190804824.1	0.835	67	1.000	0.931	2.938E-33
WP_015494765.1	WP_235277851.1	0.835	67	1.000	0.931	2.938E-33
WP_015494765.1	WP_414404485.1	0.835	67	1.000	0.893	2.938E-33
WP_015494765.1	WP_168569945.1	0.850	67	1.000	0.931	5.540E-33
WP_015494765.1	WP_324632560.1	0.850	67	1.000	0.931	7.607E-33
WP_015494765.1	GAB4214070.1	0.820	67	1.000	0.931	1.045E-32
WP_015494765.1	WP_502249006.1	0.850	67	1.000	0.931	1.045E-32
WP_015494765.1	WP_414362100.1	0.820	67	1.000	0.893	1.045E-32
WP_015494765.1	WP_054464971.1	0.848	66	0.985	0.917	1.435E-32
WP_015494765.1	WP_414395174.1	0.820	67	1.000	0.893	3.715E-32
WP_015494765.1	WP_015229078.1	0.850	67	1.000	0.931	5.101E-32
WP_015494765.1	WP_015224598.1	0.835	67	1.000	0.931	7.006E-32
WP_015494765.1	ABG51547.1	0.828	64	0.955	0.889	9.621E-32
WP_115480453.1	WP_096607388.1	0.810	58	0.817	0.806	5.235E-26
WP_136922933.1	GAB4214070.1	0.823	68	0.944	0.944	1.995E-33
WP_136922933.1	WP_011429717.1	0.823	68	0.944	0.944	1.995E-33
