WP_017721733.1	WP_017721733.1
WP_017721733.1	WP_017721725.1
WP_017721733.1	WP_324632560.1
WP_017721733.1	WP_190464766.1
WP_017721733.1	WP_038082255.1
WP_017721733.1	WP_168569945.1
WP_017721733.1	WP_039752851.1
WP_335072082.1	WP_335072082.1
WP_335072082.1	WP_298916699.1
WP_408963110.1	WP_408963110.1
WP_408963110.1	WP_377962562.1
WP_408963110.1	WP_193963479.1
WP_408963110.1	WP_287280996.1
WP_408963110.1	WP_190627385.1
WP_408963110.1	WP_169617606.1
WP_408963110.1	WP_073608715.1
WP_408963110.1	WP_017300094.1
WP_287130436.1	WP_287130436.1
WP_287130436.1	WP_007357596.1
WP_287130436.1	WP_323244924.1
WP_287130436.1	WP_425589715.1
WP_287130436.1	WP_330483830.1
WP_287130436.1	WP_425311603.1
WP_287130436.1	WP_441007279.1
WP_287130436.1	WP_335059862.1
WP_287130436.1	WP_334789054.1
WP_287130436.1	WP_334779866.1
WP_287130436.1	WP_414362100.1
WP_287130436.1	WP_193980327.1
WP_287130436.1	WP_413173348.1
WP_287130436.1	WP_413173347.1
WP_287130436.1	WP_413173346.1
WP_287130436.1	WP_413173345.1
WP_287130436.1	WP_413173344.1
WP_287130436.1	WP_190463961.1
WP_287130436.1	WP_280793164.1
WP_287130436.1	WP_280652748.1
WP_287130436.1	WP_392535573.1
WP_287130436.1	WP_054470142.1
WP_287130436.1	WP_009626980.1
WP_287130436.1	WP_287674806.1
WP_287130436.1	WP_287627019.1
WP_287130436.1	WP_011316976.1
WP_287130436.1	WP_272092571.1
WP_287130436.1	WP_272074942.1
WP_287130436.1	WP_271933955.1
WP_287130436.1	WP_272058300.1
WP_287130436.1	WP_200989004.1
WP_287130436.1	WP_194056178.1
WP_287130436.1	WP_193959329.1
WP_287130436.1	WP_193955741.1
WP_287130436.1	WP_193897365.1
WP_287130436.1	WP_190387978.1
WP_287130436.1	WP_107805940.1
WP_287130436.1	WP_084989880.1
WP_287130436.1	WP_063873375.1
WP_287130436.1	WP_063873374.1
WP_287130436.1	WP_057178839.1
WP_287130436.1	WP_045871251.1
WP_287130436.1	WP_019501601.1
WP_287130436.1	WP_017803924.1
WP_287130436.1	WP_017803923.1
WP_287130436.1	WP_015167036.1
WP_287130436.1	WP_015080752.1
WP_287130436.1	WP_010996411.1
WP_287130436.1	WP_002735503.1
WP_287130436.1	WP_414395174.1
WP_287130436.1	WP_414404485.1
WP_287130436.1	WP_190828481.1
WP_287130436.1	WP_322732512.1
WP_287130436.1	WP_169262979.1
WP_293061633.1	WP_293061633.1
WP_293061633.1	WP_293126616.1
WP_293061633.1	WP_426542028.1
WP_293061633.1	WP_293100807.1
WP_293061633.1	WP_426585015.1
WP_202218625.1	WP_202218625.1
WP_202218625.1	WP_293160100.1
WP_202218625.1	WP_293087767.1
WP_103666325.1	WP_103666325.1
WP_103666325.1	WP_201320714.1
WP_096607388.1	WP_096607388.1
WP_096607388.1	WP_069965561.1
WP_096607388.1	WP_265902100.1
WP_096607388.1	WP_446859740.1
WP_096607388.1	WP_015164085.1
WP_096607388.1	WP_439345357.1
WP_096607388.1	WP_431662249.1
WP_096607388.1	WP_190575773.1
WP_096607388.1	WP_430686742.1
WP_096607388.1	WP_335049349.1
WP_096607388.1	WP_334710560.1
WP_096607388.1	WP_039726782.1
WP_096607388.1	WP_322681236.1
WP_096607388.1	WP_324704072.1
WP_096607388.1	WP_283757384.1
WP_096607388.1	WP_190432663.1
WP_096607388.1	WP_190377542.1
WP_096607388.1	WP_086756007.1
WP_096607388.1	WP_292781623.1
WP_096607388.1	WP_054464971.1
WP_096607388.1	WP_073640805.1
WP_096607388.1	WP_283753117.1
WP_096607388.1	WP_036004549.1
WP_096607388.1	WP_190643620.1
WP_096607388.1	WP_068510916.1
WP_096607388.1	WP_015171018.1
WP_096607388.1	WP_268609013.1
WP_096607388.1	WP_293124005.1
WP_096607388.1	WP_190553740.1
WP_096607388.1	WP_271944488.1
WP_096607388.1	WP_012408764.1
WP_096607388.1	WP_261225443.1
WP_096607388.1	WP_254567340.1
WP_096607388.1	WP_235277851.1
WP_096607388.1	WP_224341338.1
WP_096607388.1	WP_204152466.1
WP_096607388.1	WP_193875962.1
WP_096607388.1	WP_190804824.1
WP_096607388.1	WP_190775818.1
WP_096607388.1	WP_190774558.1
WP_096607388.1	WP_190503885.1
WP_096607388.1	WP_190483017.1
WP_096607388.1	WP_171572203.1
WP_096607388.1	WP_163931998.1
WP_096607388.1	WP_162425313.1
WP_096607388.1	WP_153228363.1
WP_096607388.1	WP_138500607.1
WP_096607388.1	WP_106257461.1
WP_096607388.1	WP_099068598.1
WP_096607388.1	WP_088893383.1
WP_096607388.1	WP_083620231.1
WP_096607388.1	WP_075598971.1
WP_096607388.1	WP_072717742.1
WP_096607388.1	WP_042152734.1
WP_096607388.1	WP_036534731.1
WP_096607388.1	WP_026789190.1
WP_096607388.1	WP_016922591.1
WP_096607388.1	WP_015146561.1
WP_096607388.1	WP_011429717.1
WP_096607388.1	WP_009768191.1
WP_096607388.1	WP_008311322.1
WP_015224598.1	WP_015224598.1
WP_015224598.1	WP_015229078.1
